id,name
1,<startofstring>What are the opening and closing hours of Arcadian Cafe? <bot>: Arcadian Cafe is open from 11:30 AM - 12:00 AM <endofstring>
2,<startofstring>What are the timings of Arcadian Cafe? <bot>: Arcadian Cafe is open from 11:30 AM - 12:00 AM <endofstring>
3,<startofstring>What is the price range for dining at Arcadian Cafe? <bot>: The price range at Arcadian Cafe is moderate to high<endofstring>
4,<startofstring>What is the price range of dishes at Arcadian Cafe? <bot>: The price range at Arcadian Cafe is moderate to high<endofstring>
5,<startofstring> Tell me the price range of Arcadian Cafe. <bot>: The price range at Arcadian Cafe is moderate to high<endofstring>
6,"<startofstring>What type of cuisine does Arcadian Cafe offer? <bot>: Italian, Cafe, Fusion<endofstring>"
7,"<startofstring>Can you provide the menu items at Arcadian Cafe? <bot>: black pepper Asian, garlic butter steak, crispy battered fish, apple mint, bread pudding<endofstring>"
8,"<startofstring>What is the menu of Arcadian Cafe? <bot>: black pepper Asian, garlic butter steak, crispy battered fish, apple mint, bread pudding<endofstring>"
9,"<startofstring>Show me the menu of Arcadian Cafe. <bot>: black pepper Asian, garlic butter steak, crispy battered fish, apple mint, bread pudding<endofstring>"
10,"<startofstring>Where is Arcadian Cafe located? <bot>: Packages Mall Shop G22 Ground Floor Entrance Number 4, Lahore <endofstring>"
11,"<startofstring> What is the location of Arcadian Cafe? <bot>: Packages Mall Shop G22 Ground Floor Entrance Number 4, Lahore <endofstring>"
12,"<startofstring>What type of cuisine does Veera 5 restaurant offer? <bot>: Veera 5 offers Chinese, Asian, and Thai cuisine. <endofstring>"
13,"<startofstring>Where is Veera 5 restaurant located? (Address) <bot>: Veera 5 is located at Building 80, sector CCA, Phase 5 DHA, Lahore. <endofstring>"
14,"<startofstring> What is the location of Veera 5 restaurant? (Address) <bot>: Veera 5 is located at Building 80, sector CCA, Phase 5 DHA, Lahore. <endofstring>"
15,"<startofstring> Tell me the address of Veera 5 restaurant. <bot>: Veera 5 is located at Building 80, sector CCA, Phase 5 DHA, Lahore. <endofstring>"
16,<startofstring>What is the price range for dining at Veera 5 restaurant? <bot>: The price range at Veera 5 is low <endofstring>
17,<startofstring>What is the price range of dishes at Veera 5 restaurant? <bot>: The price range at Veera 5 is low <endofstring>
18,<startofstring>What is the price range of Veera 5 restaurant? <bot>: The price range at Veera 5 is low <endofstring>
19,<startofstring>What are the opening and closing hours of Veera 5 restaurant? <bot>: Veera 5 is open from 1:00 PM to 12:00 AM. <endofstring>
20,<startofstring>What are the timings of Veera 5? <bot>: Veera 5 is open from 1:00 PM to 12:00 AM.<endofstring>
21,"<startofstring>Can I see the menu of Veera 5 restaurant? <bot>: chicken chowmein, Thai chili paste chicken, beef with broccoli, lime fish, and prawns in garlic sauce. <endofstring>"
22,"<startofstring>What is the menu of Veera 5 restaurant? <bot>: chicken chowmein, Thai chili paste chicken, beef with broccoli, lime fish, and prawns in garlic sauce. <endofstring>"
